emp_length_int,home_ownership,income_category,annual_inc,loan_amount,term,purpose,interest_payments,interest_rate,grade,dti,installment,region
3,RENT,Low,57996,8000, 36 months,debt_consolidation,Low,11.12,B,21.81,262.37,cannught
1,MORTGAGE,Low,73000,18000, 60 months,home_improvement,Low,11.12,B,1.33,256.18,ulster
3,MORTGAGE,Low,44000,5700, 36 months,credit_card,Low,13.23,C,17.89,192.69,Northern-Irl
1,RENT,Low,12000,1000, 36 months,debt_consolidation,High,16.32,D,0,35.32,leinster
3,MORTGAGE,Low,64000,5000, 36 months,home_improvement,Low,13.23,C,19.71,169.03,ulster
4,MORTGAGE,Medium,141600,6000, 36 months,other,Low,11.49,B,6.31,197.83,Northern-Irl
9,MORTGAGE,Low,60000,5000, 36 months,educational,Low,7.88,A,22.24,156.41,cannught
2,RENT,Low,30000,3600, 60 months,credit_card,Low,7.88,A,21.08,72.79,leinster
6,RENT,Low,52000,6000, 36 months,car,Low,7.14,A,5.1,185.65,Northern-Irl
10,MORTGAGE,Low,89000,14500, 36 months,debt_consolidation,High,15.95,D,23.87,509.42,munster
3,RENT,Low,26400,7250, 60 months,car,Low,13.23,C,14.32,165.82,cannught
9,RENT,Low,78000,6500, 60 months,debt_consolidation,High,13.61,C,8.4,149.94,Northern-Irl
1,RENT,Low,97000,24000, 36 months,other,High,16.82,E,2.35,517.45,Northern-Irl
10,MORTGAGE,Low,49920,15000, 60 months,debt_consolidation,Low,11.49,B,17.74,201.74,cannught
10,MORTGAGE,Low,41004,7000, 60 months,other,High,15.21,D,3.34,167.31,leinster
10,MORTGAGE,High,240734,12000, 60 months,home_improvement,High,13.98,C,7.31,279.1,Northern-Irl
7,MORTGAGE,Low,50000,5000, 36 months,wedding,High,14.84,D,19.61,172.94,cannught
0.5,OWN,Low,30000,16750, 60 months,debt_consolidation,High,15.58,D,14.8,251.8,leinster
4,RENT,Low,86000,1600, 36 months,credit_card,Low,13.23,C,13.4,54.09,ulster
2,RENT,Low,58000,13300, 60 months,debt_consolidation,Low,11.12,B,13.55,180.42,Northern-Irl
2,MORTGAGE,Low,56000,16000, 60 months,home_improvement,High,18.3,F,13.11,270.27,munster
0.5,RENT,Low,40000,8000, 60 months,debt_consolidation,Low,13.23,C,4.71,182.97,ulster
7,MORTGAGE,Medium,121000,15200, 36 months,credit_card,High,13.61,C,14.27,516.63,leinster
6,MORTGAGE,Low,88100,24000, 60 months,debt_consolidation,High,16.45,E,23.75,373.28,Northern-Irl
2,RENT,Low,45600,4500, 36 months,other,Low,11.86,B,4.74,149.17,Northern-Irl
10,MORTGAGE,Low,20000,8400, 60 months,major_purchase,High,17.93,E,4.2,212.99,cannught
1,RENT,Low,61500,18000, 36 months,debt_consolidation,Low,13.23,C,10.61,577.22,Northern-Irl
10,MORTGAGE,Medium,150000,25000, 60 months,debt_consolidation,Low,11.86,B,17.73,379.73,ulster
2,RENT,Low,60000,25000, 60 months,credit_card,High,13.61,C,22.34,355.81,leinster
2,RENT,Low,40000,10000, 36 months,other,Low,7.14,A,22.5,309.42,leinster
7,RENT,Low,60000,5000, 60 months,wedding,Low,11.86,B,10.88,110.87,ulster
0.5,RENT,Low,37200,16000, 60 months,debt_consolidation,High,15.58,D,20.32,246.98,ulster
2,MORTGAGE,Low,35000,2950, 36 months,debt_consolidation,Low,7.51,A,1.51,91.78,munster
10,RENT,Low,36000,6000, 36 months,other,Low,7.51,A,15.3,186.67,ulster
9,MORTGAGE,Medium,148000,25000, 60 months,credit_card,High,20.53,G,21.73,669.75,leinster
1,RENT,Medium,120000,8000, 36 months,debt_consolidation,Low,10.38,B,2.02,259.57,Northern-Irl
5,RENT,Medium,110000,10000, 36 months,wedding,Low,7.88,A,5.48,312.82,Northern-Irl
4,MORTGAGE,Low,62000,17000, 36 months,debt_consolidation,Low,11.86,B,15.77,423.46,leinster
7,RENT,Low,54000,8000, 36 months,other,Low,7.88,A,16.47,250.25,ulster
2,RENT,Low,39996,3600, 36 months,other,High,16.32,D,1.89,127.14,Northern-Irl
1,RENT,Low,24000,5000, 60 months,wedding,High,13.98,C,13.85,116.29,leinster
1,OWN,Low,85000,14400, 60 months,major_purchase,Low,11.49,B,19.2,221.53,munster
3,RENT,Low,83004,10000, 36 months,debt_consolidation,Low,11.86,B,12.87,331.48,ulster
10,MORTGAGE,Low,70000,15000, 60 months,debt_consolidation,High,19.41,F,16.3,392.51,ulster
10,MORTGAGE,Low,92000,25000, 60 months,debt_consolidation,High,17.93,E,16.64,408.86,leinster
3,OWN,Low,65000,8700, 36 months,debt_consolidation,Low,7.88,A,13.38,272.15,leinster
2,RENT,Low,33600,12000, 36 months,debt_consolidation,Low,11.12,B,15.93,393.55,leinster
0.5,RENT,Low,64151,5000, 36 months,moving,Low,11.86,B,17.9,165.74,leinster
10,MORTGAGE,Low,76956,25000, 60 months,debt_consolidation,High,13.98,C,21.55,363.41,leinster
9,MORTGAGE,Low,57204,9000, 36 months,debt_consolidation,High,15.58,D,9.48,314.56,Northern-Irl
4,RENT,Low,43656,20000, 60 months,credit_card,High,16.45,E,6.51,304.52,leinster
3,RENT,Low,55000,9600, 36 months,debt_consolidation,High,15.21,D,3.88,333.78,Northern-Irl
0.5,MORTGAGE,Low,55000,4500, 36 months,small_business,Low,7.14,A,9.47,139.24,Northern-Irl
0.5,RENT,Low,48000,19000, 60 months,debt_consolidation,High,19.04,F,18.05,493.29,cannught
9,MORTGAGE,Medium,125004,10000, 60 months,debt_consolidation,Low,10.75,B,9.56,216.18,ulster
3,RENT,Low,50000,5500, 60 months,wedding,High,18.67,F,7.44,141.68,ulster
5,MORTGAGE,Low,43500,11250, 36 months,debt_consolidation,High,13.61,C,11.06,382.38,munster
0.5,RENT,Low,31200,3000, 36 months,small_business,Low,13.23,C,20.08,101.42,ulster
8,RENT,Low,23350,4900, 36 months,other,Low,7.88,A,4.42,153.28,cannught
10,MORTGAGE,Medium,108000,4000, 60 months,major_purchase,Low,7.88,A,19.98,80.88,cannught
0.5,RENT,Low,45000,2000, 36 months,other,High,14.84,D,10.61,69.18,ulster
10,RENT,Low,62000,4800, 60 months,small_business,Low,11.86,B,6.23,106.44,ulster
6,MORTGAGE,Low,30000,4650, 36 months,major_purchase,Low,10.75,B,9.36,151.69,leinster
2,MORTGAGE,Low,33000,3000, 36 months,home_improvement,High,14.35,C,4.4,103.05,Northern-Irl
7,MORTGAGE,Low,68500,9000, 36 months,debt_consolidation,Low,7.88,A,14.51,281.53,Northern-Irl
3,MORTGAGE,Low,60000,20000, 36 months,medical,Low,7.88,A,1.7,398.06,ulster
1,RENT,Low,32656,4000, 60 months,major_purchase,Low,11.12,B,16.35,87.21,leinster
4,RENT,Low,81000,25000, 60 months,debt_consolidation,High,17.56,E,9.87,482.97,ulster
3,MORTGAGE,Low,57360,23000, 36 months,major_purchase,Low,11.86,B,5.65,708.53,munster
3,MORTGAGE,Low,48000,9600, 36 months,debt_consolidation,Low,6.76,A,5.08,295.37,leinster
8,RENT,Low,39996,1500, 36 months,debt_consolidation,High,16.82,E,13.05,53.35,leinster
0.5,RENT,Low,54000,10000, 60 months,other,High,13.98,C,23.15,158.16,munster
9,MORTGAGE,Medium,125004,12000, 36 months,home_improvement,Low,7.14,A,8.2,371.3,munster
10,MORTGAGE,Low,60000,8000, 60 months,home_improvement,Low,11.12,B,1.12,174.42,ulster
3,RENT,Low,60000,9000, 36 months,other,Low,11.86,B,12.14,298.33,ulster
5,MORTGAGE,Low,76000,15000, 60 months,home_improvement,Low,11.12,B,0.88,327.04,leinster
1,RENT,Low,37500,8000, 60 months,debt_consolidation,High,15.21,D,10.78,191.21,cannught
10,MORTGAGE,Medium,100800,10800, 36 months,major_purchase,Low,10.75,B,15.32,352.31,leinster
6,MORTGAGE,Medium,115000,25000, 36 months,debt_consolidation,High,15.58,D,14.37,873.76,ulster
5,RENT,Low,48000,10200, 36 months,credit_card,Low,10.38,B,20.77,330.95,leinster
3,MORTGAGE,Low,75000,16750, 60 months,credit_card,High,15.58,D,16.19,403.6,Northern-Irl
2,RENT,Low,20000,5000, 36 months,other,Low,11.86,B,16.98,165.74,leinster
6,RENT,Low,45336,1800, 36 months,medical,High,15.21,D,11.49,62.59,ulster
2,RENT,Low,68000,9500, 36 months,credit_card,Low,7.14,A,11.31,293.95,ulster
10,RENT,Low,99000,14000, 60 months,debt_consolidation,High,16.32,D,18.9,342.84,ulster
4,RENT,Low,50650,6000, 36 months,credit_card,Low,11.86,B,18.45,198.89,Northern-Irl
8,MORTGAGE,Low,36000,7500, 36 months,other,Low,7.14,A,9.43,232.06,cannught
6.05,MORTGAGE,Medium,125000,8800, 36 months,credit_card,Low,7.88,A,5.84,275.28,munster
5,MORTGAGE,Low,74100,17500, 36 months,home_improvement,High,17.19,E,23.04,625.58,ulster
10,MORTGAGE,Medium,200000,20000, 36 months,other,Low,10.38,B,0.15,648.92,leinster
10,MORTGAGE,Medium,119500,25000, 60 months,debt_consolidation,High,16.82,E,19.22,618.9,cannught
10,MORTGAGE,Low,43700,10750, 60 months,debt_consolidation,High,15.58,D,23.7,259.03,leinster
10,RENT,Low,60676,7200, 36 months,small_business,High,14.72,C,9.97,248.61,leinster
9,MORTGAGE,Low,46000,15000, 60 months,debt_consolidation,High,15.58,D,21.47,361.44,cannught
10,RENT,Low,40000,10000, 36 months,debt_consolidation,Low,7.51,A,14.49,311.11,Northern-Irl
6.05,MORTGAGE,Low,61200,5700, 36 months,credit_card,Low,11.12,B,24.14,186.94,Northern-Irl
2,RENT,Low,49356,6500, 60 months,debt_consolidation,High,18.67,F,10.59,167.44,leinster
0.5,RENT,Low,90000,8000, 36 months,wedding,Low,7.88,A,12.24,250.25,Northern-Irl
4,OWN,Medium,125000,12000, 36 months,credit_card,Low,7.88,A,10.38,297.96,leinster
10,MORTGAGE,Medium,110196,25000, 36 months,debt_consolidation,Low,11.49,B,19.47,708.06,ulster
3,RENT,Low,60204,24000, 60 months,debt_consolidation,High,19.04,F,18.68,623.11,ulster
2,RENT,Low,31200,8400, 36 months,car,Low,13.23,C,7.69,283.97,ulster
2,OWN,Low,85000,10000, 36 months,wedding,Low,13.23,C,15.56,338.05,ulster
5,MORTGAGE,Low,42000,6000, 60 months,debt_consolidation,High,17.19,E,8.4,149.73,leinster
1,MORTGAGE,Low,70000,14000, 60 months,educational,High,15.95,D,12.1,198.59,leinster
10,MORTGAGE,Low,49000,2800, 60 months,small_business,High,16.82,E,22.1,69.32,cannught
3,MORTGAGE,Medium,108000,9000, 36 months,other,Low,10.38,B,14.49,292.02,Northern-Irl
5,MORTGAGE,Low,63000,4800, 36 months,credit_card,High,17.56,E,23.31,172.48,Northern-Irl
4,RENT,Low,35004,5000, 60 months,other,Low,11.49,B,8.33,109.94,ulster
0.5,RENT,Low,42000,1500, 60 months,educational,High,17.56,E,3.17,37.74,munster
6.05,MORTGAGE,Low,56400,4000, 36 months,other,Low,11.49,B,13.98,131.89,leinster
4,RENT,Medium,110000,12000, 36 months,debt_consolidation,Low,11.86,B,15.16,397.77,Northern-Irl
4,RENT,Low,96000,1500, 36 months,other,High,15.21,D,8.45,52.16,Northern-Irl
2,RENT,Low,65000,6000, 60 months,other,High,17.56,E,8.14,150.93,cannught
0.5,MORTGAGE,Low,79000,9000, 36 months,debt_consolidation,Low,6.76,A,14.95,276.91,munster
1,MORTGAGE,Low,99000,10000, 60 months,other,High,17.93,E,4.07,253.56,Northern-Irl
6,RENT,Low,88000,18000, 60 months,debt_consolidation,Low,11.12,B,12.64,276.89,Northern-Irl
0.5,RENT,Low,4080,1400, 36 months,debt_consolidation,Low,11.86,B,13.24,46.41,ulster
3,MORTGAGE,Low,75000,25000, 60 months,debt_consolidation,High,13.61,C,16.72,375.99,cannught
6.05,RENT,Low,36144,15000, 36 months,debt_consolidation,High,15.95,D,13.68,526.99,ulster
10,MORTGAGE,Low,88000,10000, 36 months,debt_consolidation,Low,7.88,A,9.37,312.82,ulster
6,MORTGAGE,Medium,166000,15000, 60 months,home_improvement,Low,10.75,B,8.52,324.27,leinster
10,MORTGAGE,Low,51000,4000, 60 months,medical,Low,7.51,A,10.66,80.18,cannught
0.5,OWN,Low,56000,5600, 36 months,debt_consolidation,Low,11.86,B,6.51,185.63,cannught
5,RENT,Low,24600,2000, 36 months,moving,High,13.61,C,17.07,67.98,munster
10,MORTGAGE,Low,75996,12000, 60 months,major_purchase,High,19.41,F,16.49,314.01,munster
2,MORTGAGE,Low,70000,5000, 36 months,debt_consolidation,Low,11.86,B,14.76,165.74,munster
9,MORTGAGE,Low,90000,18000, 60 months,debt_consolidation,High,15.21,D,11.55,287.41,leinster
10,RENT,Low,80000,4000, 36 months,debt_consolidation,Low,11.12,B,0.82,131.19,Northern-Irl
10,MORTGAGE,Low,95000,25000, 60 months,debt_consolidation,High,16.82,E,10.99,618.9,Northern-Irl
10,RENT,Low,43920,15000, 60 months,debt_consolidation,High,13.98,C,8.2,348.87,munster
2,RENT,Low,48000,10000, 36 months,major_purchase,Low,11.86,B,7.13,331.48,Northern-Irl
4,MORTGAGE,Low,21000,3000, 36 months,home_improvement,Low,11.49,B,18.11,98.92,Northern-Irl
10,RENT,Low,26100,5000, 36 months,major_purchase,Low,10.75,B,22.99,163.11,munster
8,MORTGAGE,Low,67992,12000, 36 months,other,Low,10.75,B,8.86,391.45,ulster
2,RENT,Low,40000,5000, 36 months,credit_card,Low,13.23,C,14.37,169.03,ulster
10,RENT,Low,70000,15000, 36 months,credit_card,Low,10.38,B,17.9,486.69,ulster
4,RENT,Low,33600,8000, 60 months,major_purchase,High,13.98,C,9.25,186.07,ulster
8,MORTGAGE,Medium,115000,8000, 60 months,major_purchase,High,13.98,C,6.03,186.07,cannught
8,MORTGAGE,Low,60996,16750, 36 months,debt_consolidation,Low,10.38,B,13.36,543.47,Northern-Irl
0.5,RENT,Low,35000,1600, 36 months,moving,Low,7.88,A,19.82,50.05,leinster
0.5,OWN,Low,63000,9000, 36 months,debt_consolidation,Low,11.12,B,17.64,295.17,leinster
6.05,RENT,Low,91000,9600, 60 months,other,High,13.61,C,10.25,221.44,ulster
4,RENT,Low,60000,5000, 36 months,other,High,13.98,C,19.54,170.84,Northern-Irl
4,RENT,Low,55792,10000, 60 months,debt_consolidation,High,20.16,G,10.32,265.83,Northern-Irl
1,RENT,Low,24000,8000, 36 months,other,Low,11.12,B,19,262.37,Northern-Irl
3,RENT,Medium,103000,10000, 60 months,car,Low,11.49,B,17.09,219.88,ulster
2,MORTGAGE,Low,32000,10000, 60 months,home_improvement,Low,11.49,B,13.88,219.88,munster
10,OWN,Low,90000,7000, 60 months,major_purchase,High,16.82,E,15.65,173.3,Northern-Irl
0.5,RENT,Low,15000,2000, 36 months,major_purchase,Low,7.88,A,12.48,62.57,ulster
10,OWN,Low,34800,1700, 36 months,other,Low,10.38,B,21.31,55.16,Northern-Irl
5,RENT,Low,40000,9000, 60 months,car,Low,11.86,B,1.25,199.57,Northern-Irl
0.5,RENT,Low,18204,4500, 36 months,other,High,13.61,C,4.61,152.95,Northern-Irl
2,MORTGAGE,Low,57500,7750, 36 months,debt_consolidation,Low,6.76,A,6.78,238.45,ulster
6,RENT,Low,30000,5000, 36 months,other,High,13.98,C,13,170.84,ulster
3,MORTGAGE,Low,49800,6000, 36 months,debt_consolidation,Low,7.14,A,9.61,185.65,leinster
4,RENT,Low,62000,16000, 36 months,debt_consolidation,Low,7.88,A,10.26,380.07,cannught
0.5,MORTGAGE,Low,65000,6000, 60 months,debt_consolidation,Low,11.86,B,3.9,133.05,leinster
5,RENT,Low,41000,7500, 60 months,debt_consolidation,Low,11.86,B,5.44,166.31,leinster
5,MORTGAGE,Low,92000,6000, 36 months,major_purchase,Low,6.76,A,5.32,184.61,ulster
3,RENT,Low,45000,10000, 60 months,debt_consolidation,High,13.98,C,5.97,232.58,ulster
2,MORTGAGE,Low,28800,4000, 60 months,other,Low,7.88,A,7.33,80.88,Northern-Irl
4,RENT,Low,20800,3200, 36 months,car,High,14.84,D,18.87,110.68,leinster
4,MORTGAGE,Low,50000,10000, 36 months,home_improvement,Low,11.86,B,17.48,331.48,ulster
2,MORTGAGE,Low,44208,7000, 36 months,major_purchase,Low,7.51,A,3.58,217.78,cannught
5,RENT,Low,58704,23500, 36 months,credit_card,High,14.72,C,20.93,615.47,munster
3,RENT,Low,72150,14000, 36 months,debt_consolidation,Low,10.75,B,20.81,414.28,Northern-Irl
3,RENT,Low,48000,9000, 60 months,major_purchase,Low,11.49,B,16.85,144.02,Northern-Irl
6,RENT,Low,31000,7000, 36 months,debt_consolidation,Low,7.88,A,8.32,218.97,Northern-Irl
3,MORTGAGE,Low,92004,24250, 36 months,debt_consolidation,High,14.72,C,11.36,596.48,munster
7,OWN,Low,51996,6000, 36 months,other,Low,10.75,B,18.67,195.73,leinster
10,MORTGAGE,Low,55000,4000, 60 months,major_purchase,High,15.21,D,16.04,95.61,ulster
5,MORTGAGE,Low,24000,5500, 60 months,credit_card,Low,13.23,C,22.75,125.8,ulster
10,OWN,Low,50000,12000, 36 months,debt_consolidation,High,13.98,C,24.43,410.02,ulster
2,MORTGAGE,Low,56004,18000, 60 months,debt_consolidation,Low,11.86,B,14.93,259.44,cannught
2,RENT,Low,30000,3350, 36 months,major_purchase,High,14.72,C,18.72,115.68,leinster
8,MORTGAGE,Low,78000,6250, 36 months,house,Low,6.76,A,5.91,192.3,leinster
0.5,MORTGAGE,Low,48000,7800, 36 months,debt_consolidation,Low,7.51,A,14.32,242.67,ulster
2,RENT,Low,47500,5300, 36 months,credit_card,Low,11.49,B,3.54,174.75,munster
6.05,RENT,Low,20000,2000, 36 months,debt_consolidation,High,18.3,F,3.48,72.61,cannught
1,RENT,Low,97000,25000, 60 months,debt_consolidation,High,13.98,C,23.86,361.08,munster
2,MORTGAGE,Low,53600,13000, 60 months,debt_consolidation,High,18.3,F,20.51,221.71,ulster
0.5,RENT,Low,42000,6000, 36 months,debt_consolidation,Low,11.12,B,4.23,196.78,Northern-Irl
7,MORTGAGE,Medium,150000,22000, 36 months,debt_consolidation,Low,10.38,B,14.51,502.92,ulster
0.5,RENT,Low,59356,5000, 60 months,educational,High,21.27,G,10.09,136.03,Northern-Irl
10,MORTGAGE,Medium,107364,8000, 36 months,major_purchase,Low,6.76,A,4.6,246.14,Northern-Irl
10,MORTGAGE,Medium,146000,3800, 36 months,credit_card,Low,6.39,A,4.21,116.28,Northern-Irl
2,MORTGAGE,Low,41000,12800, 60 months,debt_consolidation,Low,11.86,B,23.53,197.91,cannught
10,RENT,Low,80000,6000, 60 months,major_purchase,High,15.21,D,15.97,143.41,Northern-Irl
4,MORTGAGE,Low,63996,3250, 36 months,other,Low,7.88,A,20.95,101.67,ulster
2,RENT,Low,72000,10000, 60 months,debt_consolidation,Low,11.86,B,19.1,153,Northern-Irl
3,MORTGAGE,Low,35000,6200, 60 months,major_purchase,Low,7.88,A,9.33,125.36,leinster
5,RENT,Medium,171000,6000, 36 months,debt_consolidation,High,15.95,D,8.27,210.8,ulster
0.5,MORTGAGE,Low,84000,10000, 36 months,home_improvement,Low,7.88,A,15.61,238.52,Northern-Irl
6,RENT,Low,65000,23000, 60 months,debt_consolidation,High,17.93,E,16.3,370.19,ulster
3,MORTGAGE,Low,54000,4000, 60 months,vacation,High,16.82,E,13.71,99.03,leinster
3,RENT,Low,47756,3350, 36 months,other,High,13.98,C,17.19,114.47,leinster
10,MORTGAGE,Low,70000,10000, 60 months,debt_consolidation,Low,7.88,A,12.17,202.2,cannught
2,RENT,Low,32280,3100, 60 months,debt_consolidation,High,15.21,D,21.2,74.1,cannught
10,MORTGAGE,Low,72000,4000, 36 months,major_purchase,Low,7.14,A,14.23,123.77,Northern-Irl
5,MORTGAGE,Low,98000,15000, 60 months,major_purchase,High,15.95,D,15.02,224.7,ulster
10,MORTGAGE,Low,59484,5500, 36 months,debt_consolidation,Low,7.14,A,14.48,170.18,cannught
1,RENT,Low,33000,7000, 36 months,other,High,13.61,C,11.71,237.92,munster
10,MORTGAGE,Low,93200,25000, 36 months,debt_consolidation,High,15.58,D,24.23,570.56,Northern-Irl
10,MORTGAGE,Low,76000,22000, 60 months,debt_consolidation,High,19.04,F,11.05,395.93,leinster
4,RENT,Low,30000,9250, 60 months,debt_consolidation,High,16.82,E,23.64,174.53,Northern-Irl
0.5,RENT,Low,28800,4000, 60 months,other,Low,13.23,C,2.13,91.49,leinster
9,MORTGAGE,Low,70392,1500, 36 months,other,Low,10.38,B,23.08,48.67,leinster
0.5,RENT,Low,35000,12000, 60 months,credit_card,Low,11.86,B,15.22,141.36,ulster
10,RENT,Medium,105000,25000, 60 months,debt_consolidation,High,13.98,C,12.73,386.09,cannught
7,MORTGAGE,Low,60000,14400, 60 months,home_improvement,High,18.3,F,22.48,260.05,Northern-Irl
6.05,MORTGAGE,Low,48000,6700, 60 months,other,Low,10.38,B,8.83,143.62,Northern-Irl
5,RENT,Low,30600,8000, 60 months,other,High,16.82,E,15.18,198.05,leinster
1,MORTGAGE,Low,59436,7500, 36 months,debt_consolidation,Low,6.76,A,4.08,230.76,munster
4,RENT,Low,92652,10000, 36 months,other,Low,13.23,C,12.21,338.05,Northern-Irl
5,RENT,Low,49992,8000, 36 months,small_business,High,15.95,D,0.94,281.06,munster
6.05,RENT,Low,30000,3000, 60 months,other,High,15.58,D,2.04,72.29,Northern-Irl
10,MORTGAGE,Low,53000,16000, 36 months,credit_card,High,14.35,C,17.14,549.57,leinster
10,MORTGAGE,Low,45000,18000, 60 months,debt_consolidation,Low,10.99,B,19.31,253.25,cannught
2,RENT,Low,45000,15000, 60 months,debt_consolidation,High,15.95,D,20.4,271.46,Northern-Irl
2,RENT,Low,77064,15000, 60 months,debt_consolidation,High,18.67,F,14.4,248.58,cannught
7,RENT,Low,33000,4000, 36 months,other,Low,6.76,A,19.64,123.07,leinster
2,MORTGAGE,Low,52000,8000, 36 months,debt_consolidation,Low,7.51,A,16.68,248.89,ulster
10,RENT,Low,29000,6000, 36 months,credit_card,High,13.61,C,16.8,203.94,ulster
3,MORTGAGE,Low,100000,25000, 36 months,other,Low,10.75,B,8.7,521.93,Northern-Irl
4,RENT,Low,78000,15400, 60 months,house,High,16.32,D,15.17,233.26,leinster
6,MORTGAGE,Medium,125000,10000, 36 months,other,Low,10.38,B,21.89,321.22,munster
0.5,RENT,Low,87000,2500, 36 months,debt_consolidation,Low,7.14,A,12.5,77.36,leinster
8,MORTGAGE,Low,56000,4750, 36 months,debt_consolidation,Low,7.14,A,8.46,146.98,ulster
3,RENT,Low,65000,18000, 60 months,debt_consolidation,High,18.67,F,17.34,304.61,Northern-Irl
6,MORTGAGE,Low,40113,5000, 36 months,small_business,Low,7.14,A,8.62,154.71,munster
0.5,RENT,Low,37000,3000, 36 months,credit_card,Low,6.39,A,13.62,91.8,ulster
3,RENT,Low,57000,6000, 36 months,other,Low,10.75,B,3.16,195.73,Northern-Irl
10,RENT,Low,62400,20000, 36 months,debt_consolidation,Low,11.12,B,20.77,532.93,ulster
6.05,MORTGAGE,Low,56532,16000, 36 months,renewable_energy,Low,7.88,A,22.14,315.94,ulster
3,RENT,Medium,105000,12000, 60 months,debt_consolidation,High,13.98,C,16.94,171.53,leinster
10,RENT,Low,32004,4000, 36 months,debt_consolidation,Low,11.49,B,17.36,131.89,Northern-Irl
3,RENT,Low,63000,6000, 36 months,wedding,Low,13.23,C,4.38,202.83,ulster
10,MORTGAGE,Low,98268,16000, 60 months,debt_consolidation,Low,11.12,B,12.32,348.84,Northern-Irl
1,RENT,Low,39999,4200, 60 months,medical,High,20.9,G,11.55,113.39,leinster
3,RENT,Low,61000,6300, 36 months,credit_card,High,13.61,C,9.54,214.13,leinster
2,RENT,Low,43812,2400, 36 months,debt_consolidation,High,14.35,C,10.9,82.44,ulster
4,MORTGAGE,Low,30000,3200, 60 months,other,High,17.19,E,12.16,79.86,ulster
1,RENT,Low,50000,3000, 36 months,major_purchase,Low,7.88,A,8.16,93.85,ulster
0.5,RENT,Low,24960,6500, 60 months,debt_consolidation,High,17.56,E,14.57,163.51,ulster
5,MORTGAGE,Low,75000,10000, 60 months,major_purchase,Low,10.75,B,7.97,206.46,cannught
2,MORTGAGE,Medium,119000,5325, 36 months,home_improvement,Low,10.38,B,8.43,172.78,ulster
1,RENT,Low,86004,20000, 60 months,debt_consolidation,High,15.58,D,17.54,328.31,ulster
3,MORTGAGE,Low,65000,6000, 60 months,major_purchase,Low,7.88,A,9.36,121.32,munster
2,RENT,Low,24996,5000, 36 months,debt_consolidation,High,16.45,E,8.07,176.9,leinster
5,MORTGAGE,Low,93000,10000, 60 months,other,Low,11.49,B,1.73,167.11,ulster
2,RENT,Low,33600,10000, 60 months,major_purchase,High,15.21,D,4.46,239.01,ulster
1,RENT,Low,40000,1600, 36 months,other,High,14.84,D,7.92,55.34,ulster
9,RENT,Low,39996,8000, 36 months,other,Low,7.14,A,10.05,247.53,leinster
2,RENT,Low,50000,5000, 36 months,credit_card,Low,7.88,A,6.02,156.41,leinster
1,OWN,Low,21600,3500, 36 months,medical,High,13.61,C,17.44,118.96,ulster
10,OWN,Low,64800,3000, 36 months,medical,Low,7.88,A,14.39,93.85,cannught
4,RENT,Low,69996,25000, 36 months,debt_consolidation,High,15.95,D,17.13,542.8,munster
0.5,RENT,Low,45000,8000, 36 months,debt_consolidation,Low,7.14,A,1.73,247.53,ulster
7,RENT,Low,100000,25000, 60 months,credit_card,High,13.61,C,23.81,348.31,cannught
0.5,RENT,Low,98004,5000, 36 months,other,High,14.84,D,11.63,172.94,munster
1,RENT,Low,26000,12250, 36 months,debt_consolidation,Low,11.49,B,14.35,330.54,leinster
1,RENT,Low,8000,4750, 36 months,educational,Low,11.12,B,5.4,155.78,Northern-Irl
10,MORTGAGE,Low,70885,1000, 36 months,vacation,Low,6.39,A,1.76,30.6,ulster
0.5,OWN,Low,35700,21000, 60 months,other,Low,11.49,B,1.04,290.79,leinster
5,RENT,Low,97000,17600, 36 months,credit_card,High,17.19,E,20.66,629.16,ulster
4,RENT,Low,88000,20000, 36 months,debt_consolidation,Low,10.38,B,5.69,422.61,cannught
8,MORTGAGE,Low,49000,8000, 60 months,debt_consolidation,Low,11.12,B,9.8,174.42,cannught
10,MORTGAGE,Low,48996,16000, 60 months,other,Low,11.49,B,14.84,212.73,leinster
6,MORTGAGE,Medium,101000,16000, 36 months,debt_consolidation,Low,7.88,A,6.42,332.37,leinster
8,MORTGAGE,Low,88000,10000, 36 months,credit_card,Low,7.51,A,19.61,311.11,ulster
5,MORTGAGE,Medium,102000,4000, 36 months,vacation,Low,7.88,A,1.46,125.13,ulster
7,RENT,High,240000,18000, 36 months,debt_consolidation,Low,7.88,A,2.42,563.06,cannught
2,RENT,Low,59451,9600, 60 months,debt_consolidation,High,16.32,D,15.2,235.09,leinster
7,MORTGAGE,Low,78000,15000, 36 months,other,Low,7.88,A,9.42,440.29,cannught
10,MORTGAGE,Low,87000,15000, 60 months,credit_card,Low,11.86,B,12.97,235.05,munster
2,RENT,Low,24000,4000, 36 months,debt_consolidation,Low,11.12,B,11.4,131.19,ulster
10,MORTGAGE,Low,45000,18000, 36 months,debt_consolidation,Low,7.88,A,7.52,351.92,cannught
10,RENT,Low,54316,10000, 36 months,debt_consolidation,Low,11.86,B,7.33,331.48,Northern-Irl
0.5,MORTGAGE,Low,43500,1200, 36 months,other,Low,11.49,B,22.34,39.57,leinster
2,MORTGAGE,Low,40000,8100, 36 months,debt_consolidation,Low,7.14,A,6.96,250.63,leinster
0.5,MORTGAGE,Medium,141996,14000, 36 months,major_purchase,Low,7.51,A,6,280.78,ulster
5,MORTGAGE,Low,57000,7000, 36 months,wedding,High,15.21,D,22.72,243.38,Northern-Irl
